Date,Heart Rate (average),Sleep (sum),Sleep (Core) (sum),Steps (sum),Weight (Most Recent) (most recent),Sleep (REM) (sum),Sleep (Asleep) (sum),Sleep (Deep) (sum)
,491,240,183,1220,165,173,88,179
1/1/22,,,,,,,,
1/2/22,,,,,,,,
1/3/22,,,,,,,,
1/4/22,,,,,,,,
1/5/22,,,,,,,,
1/6/22,,,,,,,,
1/7/22,,,,,,,,
1/8/22,,,,,,,,
1/9/22,,,,,,,,
1/10/22,,,,,,,,
1/11/22,,,,,,,,
1/12/22,,,,196,,,,
1/13/22,,,,,,,,
1/14/22,,,,,,,,
1/15/22,,,,,,,,
1/16/22,,,,,,,,
1/17/22,,,,,,,,
1/18/22,,,,,,,,
1/19/22,,,,,,,,
1/20/22,,,,,,,,
1/21/22,,,,,,,,
1/22/22,,,,,,,,
1/23/22,,,,,,,,
1/24/22,,,,,,,,
1/25/22,,,,,,,,
1/26/22,,,,,,,,
1/27/22,,,,,,,,
1/28/22,,,,,,,,
1/29/22,,,,,,,,
1/30/22,,,,,,,,
1/31/22,,,,,,,,
2/1/22,,,,,,,,
2/2/22,,,,,,,,
2/3/22,,,,,,,,
2/4/22,,,,,,,,
2/5/22,,,,,,,,
2/6/22,,,,,,,,
2/7/22,,,,,,,,
2/8/22,,,,,,,,
2/9/22,,,,,,,,
2/10/22,,,,,,,,
2/11/22,,,,,,,,
2/12/22,,,,,,,,
2/13/22,,,,11,,,,
2/14/22,,,,,,,,
2/15/22,,,,,,,,
2/16/22,,,,,,,,
2/17/22,,,,,,,,
2/18/22,,,,,,,,
2/19/22,,,,,,,,
2/20/22,,,,,,,,
2/21/22,,,,,,,,
2/22/22,,,,,,,,
2/23/22,,,,,,,,
2/24/22,,,,,,,,
2/25/22,,,,,,,,
2/26/22,,,,,,,,
2/27/22,,,,,,,,
2/28/22,,,,,,,,
3/1/22,,,,,,,,
3/2/22,,,,,,,,
3/3/22,,,,,,,,
3/4/22,,,,,,,,
3/5/22,,,,,,,,
3/6/22,,,,,,,,
3/7/22,,,,,,,,
3/8/22,,,,,,,,
3/9/22,,,,,,,,
3/10/22,,,,,,,,
3/11/22,,,,,,,,
3/12/22,,,,,,,,
3/13/22,,,,,,,,
3/14/22,,,,,,,,
3/15/22,,,,,,,,
3/16/22,,,,,,,,
3/17/22,,,,,,,,
3/18/22,,,,,,,,
3/19/22,,,,,,,,
3/20/22,,,,,,,,
3/21/22,,,,,,,,
3/22/22,,,,,,,,
3/23/22,,,,,,,,
3/24/22,,,,,,,,
3/25/22,,,,,,,,
3/26/22,,,,,,,,
3/27/22,,,,,,,,
3/28/22,,,,,,,,
3/29/22,,,,,,,,
3/30/22,,,,,,,,
3/31/22,,,,,,,,
4/1/22,,,,,,,,
4/2/22,,,,,,,,
4/3/22,,,,,,,,
4/4/22,,,,,,,,
4/5/22,,,,,,,,
4/6/22,,,,,,,,
4/7/22,,,,,,,,
4/8/22,,,,,,,,
4/9/22,,,,,,,,
4/10/22,,,,,,,,
4/11/22,,,,,,,,
4/12/22,,,,,,,,
4/13/22,,,,,,,,
4/14/22,,,,,,,,
4/15/22,,,,,,,,
4/16/22,,,,,,,,
4/17/22,,,,,,,,
4/18/22,,,,,,,,
4/19/22,,,,,,,,
4/20/22,,,,,,,,
4/21/22,,,,,,,,
4/22/22,,,,,,,,
4/23/22,,,,,,,,
4/24/22,,,,,,,,
4/25/22,,,,,,,,
4/26/22,,,,,,,,
4/27/22,,,,,,,,
4/28/22,,,,,,,,
4/29/22,,,,,,,,
4/30/22,,,,,,,,
5/1/22,,,,,,,,
5/2/22,,,,,,,,
5/3/22,,,,,,,,
5/4/22,,,,,,,,
5/5/22,,,,,,,,
5/6/22,,,,,,,,
5/7/22,,,,,,,,
5/8/22,,,,,,,,
5/9/22,,,,,,,,
5/10/22,,,,,,,,
5/11/22,,,,,,,,
5/12/22,,,,,,,,
5/13/22,,,,,,,,
5/14/22,,,,,,,,
5/15/22,,,,,,,,
5/16/22,,,,,,,,
5/17/22,,,,,,,,
5/18/22,,,,,,,,
5/19/22,,,,,,,,
5/20/22,,,,,,,,
5/21/22,,,,,,,,
5/22/22,,,,,,,,
5/23/22,,,,,,,,
5/24/22,,,,,,,,
5/25/22,,,,,,,,
5/26/22,,,,,,,,
5/27/22,,,,,,,,
5/28/22,,,,,,,,
5/29/22,,,,,,,,
5/30/22,,,,,,,,
5/31/22,,,,,,,,
6/1/22,,,,,,,,
6/2/22,,,,,,,,
6/3/22,,,,,,,,
6/4/22,,,,,,,,
